Policy_Id,Customer_ID,Premium_Amt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Next_Premium_Dt,Actual_Premium_Paid_Dt,Region
10001,1,25000,200000,14732.62,2014-09-20,2014-02-06,EAST
10001,1,25000,200000,14732.62,2014-09-20,2014-03-08,EAST
10001,1,25000,200000,14732.62,2014-09-20,2014-04-07,EAST
10002,1,12500,500000,6117.62,2012-10-07,2011-10-11,EAST
10002,1,12500,500000,6117.62,2012-10-07,2011-11-10,EAST
10003,1,7500,500000,1846.81,2011-03-03,2010-06-20,EAST
10003,1,7500,500000,1846.81,2011-03-03,2010-07-20,EAST
10003,1,7500,500000,1846.81,2011-03-03,2010-08-19,EAST
10003,1,7500,500000,1846.81,2011-03-03,2010-09-18,EAST
10003,1,7500,500000,1846.81,2011-03-03,2010-10-18,EAST
10004,2,15000,1000000,8717.53,2015-04-25,2014-09-02,SOUTH
10004,2,15000,1000000,8717.53,2015-04-25,2014-10-02,SOUTH
10005,3,5000,800000,3009.66,2021-01-09,2012-01-02,EAST
10006,4,12500,400000,3354.47,2019-03-24,2018-04-14,NORTH
10006,4,12500,400000,3354.47,2019-03-24,2018-05-14,NORTH
10006,4,12500,400000,3354.47,2019-03-24,2018-06-13,NORTH
10006,4,12500,400000,3354.47,2019-03-24,2018-07-13,NORTH
10007,4,12500,200000,3451.52,2009-12-15,2008-12-14,NORTH
10008,5,20000,800000,5267.46,2012-08-05,2012-05-06,NORTH
10008,5,20000,800000,5267.46,2012-08-05,2012-06-05,NORTH
10008,5,20000,800000,5267.46,2012-08-05,2012-07-05,NORTH
10009,5,25000,200000,7567.69,2019-04-02,2018-01-10,NORTH
10009,5,25000,200000,7567.69,2019-04-02,2018-02-09,NORTH
10010,5,10000,500000,6045.52,2016-03-09,2015-02-28,NORTH
10010,5,10000,500000,6045.52,2016-03-09,2015-03-30,NORTH
10010,5,10000,500000,6045.52,2016-03-09,2015-04-29,NORTH
10010,5,10000,500000,6045.52,2016-03-09,2015-05-29,NORTH
10011,6,10000,600000,8392.43,2021-07-24,2020-04-14,SOUTH
10012,7,15000,200000,13357.43,2013-09-29,2012-09-21,EAST
10013,7,5000,400000,2921.1,2009-04-15,2007-11-11,EAST
10013,7,5000,400000,2921.1,2009-04-15,2007-12-11,EAST
10014,8,25000,400000,20071.84,2021-02-03,2020-10-10,SOUTH
10014,8,25000,400000,20071.84,2021-02-03,2020-11-09,SOUTH
10014,8,25000,400000,20071.84,2021-02-03,2020-12-09,SOUTH
10015,9,15000,500000,6340.34,2015-09-22,2014-09-07,EAST
10015,9,15000,500000,6340.34,2015-09-22,2014-10-07,EAST
10016,10,15000,300000,4820.81,2014-08-26,2013-07-23,NORTH
10016,10,15000,300000,4820.81,2014-08-26,2013-08-22,NORTH
10016,10,15000,300000,4820.81,2014-08-26,2013-09-21,NORTH
10017,10,12500,1000000,9849.67,2009-11-21,2009-03-22,NORTH
10017,10,12500,1000000,9849.67,2009-11-21,2009-04-21,NORTH
10017,10,12500,1000000,9849.67,2009-11-21,2009-05-21,NORTH
10018,11,7500,200000,4904.04,2020-04-17,2020-01-12,SOUTH
10018,11,7500,200000,4904.04,2020-04-17,2020-02-11,SOUTH
10018,11,7500,200000,4904.04,2020-04-17,2020-03-12,SOUTH
10018,11,7500,200000,4904.04,2020-04-17,2020-04-11,SOUTH
10019,12,7500,200000,4871.78,2020-02-11,2019-10-04,SOUTH
10019,12,7500,200000,4871.78,2020-02-11,2019-11-03,SOUTH
10020,13,12500,600000,6475.95,2021-01-05,2020-08-06,SOUTH
10020,13,12500,600000,6475.95,2021-01-05,2020-09-05,SOUTH
10020,13,12500,600000,6475.95,2021-01-05,2020-10-05,SOUTH
10020,13,12500,600000,6475.95,2021-01-05,2020-11-04,SOUTH
10021,13,12500,400000,4125.67,2017-11-11,2017-05-20,SOUTH
10021,13,12500,400000,4125.67,2017-11-11,2017-06-19,SOUTH
10022,14,25000,900000,17462.27,2018-06-17,2017-12-18,EAST
10022,14,25000,900000,17462.27,2018-06-17,2018-01-17,EAST
10023,14,15000,400000,13271.45,2014-06-05,2014-03-20,EAST
10023,14,15000,400000,13271.45,2014-06-05,2014-04-19,EAST
10023,14,15000,400000,13271.45,2014-06-05,2014-05-19,EAST
10024,14,10000,200000,5370.73,2016-10-25,2015-11-03,EAST
10025,15,20000,600000,17771.36,2009-07-21,2008-03-09,EAST
10025,15,20000,600000,17771.36,2009-07-21,2008-04-08,EAST
10025,15,20000,600000,17771.36,2009-07-21,2008-05-08,EAST
10026,15,5000,600000,3135.25,2016-11-02,2015-06-06,EAST
10026,15,5000,600000,3135.25,2016-11-02,2015-07-06,EAST
10026,15,5000,600000,3135.25,2016-11-02,2015-08-05,EAST
10027,15,20000,800000,5093.15,2016-09-12,2015-08-07,EAST
10027,15,20000,800000,5093.15,2016-09-12,2015-09-06,EAST
10027,15,20000,800000,5093.15,2016-09-12,2015-10-06,EAST
10027,15,20000,800000,5093.15,2016-09-12,2015-11-05,EAST
10027,15,20000,800000,5093.15,2016-09-12,2015-12-05,EAST
10028,16,15000,200000,6607.23,2019-06-07,2018-01-01,EAST
10028,16,15000,200000,6607.23,2019-06-07,2018-01-31,EAST
10028,16,15000,200000,6607.23,2019-06-07,2018-03-02,EAST
10028,16,15000,200000,6607.23,2019-06-07,2018-04-01,EAST
10028,16,15000,200000,6607.23,2019-06-07,2018-05-01,EAST
10029,16,15000,500000,10705.05,2016-06-25,2015-07-08,EAST
10030,16,10000,300000,6865.36,2013-02-17,2012-12-01,EAST
10031,17,5000,800000,3023.49,2018-06-21,2017-08-23,SOUTH
10031,17,5000,800000,3023.49,2018-06-21,2017-09-22,SOUTH
10032,17,10000,1000000,6370.22,2007-05-10,2006-02-27,SOUTH
10033,17,7500,600000,5970.09,2016-02-23,2015-11-16,SOUTH
10034,18,10000,400000,3798.69,2009-05-04,2007-12-22,WEST
10034,18,10000,400000,3798.69,2009-05-04,2008-01-21,WEST
10035,18,15000,800000,9921.13,2018-12-02,2018-07-18,WEST
10036,19,7500,500000,5696.7,2011-04-12,2010-11-11,SOUTH
10036,19,7500,500000,5696.7,2011-04-12,2010-12-11,SOUTH
10036,19,7500,500000,5696.7,2011-04-12,2011-01-10,SOUTH
10037,19,7500,600000,2309.29,2014-01-02,2012-09-09,SOUTH
10037,19,7500,600000,2309.29,2014-01-02,2012-10-09,SOUTH
10038,20,20000,500000,12926.05,2014-10-10,2013-08-05,EAST
10039,20,25000,400000,16239.57,2018-03-13,2017-12-16,EAST
10039,20,25000,400000,16239.57,2018-03-13,2018-01-15,EAST
10039,20,25000,400000,16239.57,2018-03-13,2018-02-14,EAST
10039,20,25000,400000,16239.57,2018-03-13,2018-03-16,EAST
10040,21,12500,500000,6667.33,2009-05-06,2008-10-04,WEST
10040,21,12500,500000,6667.33,2009-05-06,2008-11-03,WEST
10040,21,12500,500000,6667.33,2009-05-06,2008-12-03,WEST
