Policy_SK,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Customer_ID,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Region,Num_Installments
1,PT001,Auto,Auto insurance policy,10001,Auto Policy 10001,1,25000,Annual,2014-02-06,2019-02-05,2014-09-20,2014-08-21,200000,14732.62,EAST,1
2,PT001,Auto,Auto insurance policy,10002,Auto Policy 10002,1,12500,Annual,2011-10-11,2016-10-09,2012-10-07,2012-09-07,500000,6117.62,EAST,1
3,PT005,Home,Home insurance policy,10003,Home Policy 10003,1,7500,Annual,2010-06-20,2015-06-19,2011-03-03,2011-02-01,500000,1846.81,EAST,1
4,PT005,Home,Home insurance policy,10004,Home Policy 10004,2,15000,Quarterly,2014-09-02,2016-09-01,2015-04-25,2015-03-26,1000000,8717.53,SOUTH,4
5,PT002,WholeLife,Whole life insurance policy,10005,WholeLife Policy 10005,3,5000,Quarterly,2012-01-02,2024-11-10,2021-01-09,2020-12-10,800000,3009.66,EAST,4
6,PT001,Auto,Auto insurance policy,10006,Auto Policy 10006,4,12500,Annual,2018-04-14,2023-04-13,2019-03-24,2019-02-22,400000,3354.47,NORTH,1
7,PT004,Health,Health insurance policy,10007,Health Policy 10007,4,12500,Quarterly,2008-12-14,2010-12-14,2009-12-15,2009-11-15,200000,3451.52,NORTH,4
8,PT004,Health,Health insurance policy,10008,Health Policy 10008,5,20000,Quarterly,2012-05-06,2014-05-06,2012-08-05,2012-07-06,800000,5267.46,NORTH,4
9,PT002,WholeLife,Whole life insurance policy,10009,WholeLife Policy 10009,5,25000,Annual,2018-01-10,2023-01-09,2019-04-02,2019-03-03,200000,7567.69,NORTH,1
10,PT002,WholeLife,Whole life insurance policy,10010,WholeLife Policy 10010,5,10000,Annual,2015-02-28,2020-02-27,2016-03-09,2016-02-08,500000,6045.52,NORTH,1
11,PT002,WholeLife,Whole life insurance policy,10011,WholeLife Policy 10011,6,10000,Quarterly,2020-04-14,2022-04-14,2021-07-24,2021-06-24,600000,8392.43,SOUTH,4
12,PT004,Health,Health insurance policy,10012,Health Policy 10012,7,15000,Monthly,2012-09-21,2013-09-21,2013-09-29,2013-08-30,200000,13357.43,EAST,12
13,PT004,Health,Health insurance policy,10013,Health Policy 10013,7,5000,Quarterly,2007-11-11,2009-11-10,2009-04-15,2009-03-16,400000,2921.1,EAST,4
14,PT001,Auto,Auto insurance policy,10014,Auto Policy 10014,8,25000,Annual,2020-10-10,2025-10-09,2021-02-03,2021-01-04,400000,20071.84,SOUTH,1
15,PT002,WholeLife,Whole life insurance policy,10015,WholeLife Policy 10015,9,15000,Annual,2014-09-07,2019-09-06,2015-09-22,2015-08-23,500000,6340.34,EAST,1
16,PT004,Health,Health insurance policy,10016,Health Policy 10016,10,15000,Quarterly,2013-07-23,2015-07-23,2014-08-26,2014-07-27,300000,4820.81,NORTH,4
17,PT002,WholeLife,Whole life insurance policy,10017,WholeLife Policy 10017,10,12500,Annual,2009-03-22,2014-03-21,2009-11-21,2009-10-22,1000000,9849.67,NORTH,1
18,PT003,Term,Term life insurance policy,10018,Term Policy 10018,11,7500,Monthly,2020-01-12,2021-01-11,2020-04-17,2020-03-18,200000,4904.04,SOUTH,12
19,PT004,Health,Health insurance policy,10019,Health Policy 10019,12,7500,Quarterly,2019-10-04,2021-10-03,2020-02-11,2020-01-12,200000,4871.78,SOUTH,4
20,PT004,Health,Health insurance policy,10020,Health Policy 10020,13,12500,Annual,2020-08-06,2025-08-05,2021-01-05,2020-12-06,600000,6475.95,SOUTH,1
21,PT004,Health,Health insurance policy,10021,Health Policy 10021,13,12500,Quarterly,2017-05-20,2019-05-20,2017-11-11,2017-10-12,400000,4125.67,SOUTH,4
22,PT001,Auto,Auto insurance policy,10022,Auto Policy 10022,14,25000,Quarterly,2017-12-18,2019-12-18,2018-06-17,2018-05-18,900000,17462.27,EAST,4
23,PT003,Term,Term life insurance policy,10023,Term Policy 10023,14,15000,Annual,2014-03-20,2019-03-19,2014-06-05,2014-05-06,400000,13271.45,EAST,1
24,PT005,Home,Home insurance policy,10024,Home Policy 10024,14,10000,Annual,2015-11-03,2020-11-01,2016-10-25,2016-09-25,200000,5370.73,EAST,1
25,PT001,Auto,Auto insurance policy,10025,Auto Policy 10025,15,20000,Annual,2008-03-09,2013-03-08,2009-07-21,2009-06-21,600000,17771.36,EAST,1
26,PT003,Term,Term life insurance policy,10026,Term Policy 10026,15,5000,Annual,2015-06-06,2020-06-04,2016-11-02,2016-10-03,600000,3135.25,EAST,1
27,PT002,WholeLife,Whole life insurance policy,10027,WholeLife Policy 10027,15,20000,Annual,2015-08-07,2020-08-05,2016-09-12,2016-08-13,800000,5093.15,EAST,1
28,PT005,Home,Home insurance policy,10028,Home Policy 10028,16,15000,Quarterly,2018-01-01,2020-01-01,2019-06-07,2019-05-08,200000,6607.23,EAST,4
29,PT001,Auto,Auto insurance policy,10029,Auto Policy 10029,16,15000,Quarterly,2015-07-08,2017-07-07,2016-06-25,2016-05-26,500000,10705.05,EAST,4
