Transaction_SK,Policy_Id,Customer_ID,Premium_Amt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Next_Premium_Dt,Actual_Premium_Paid_Dt,Region,Is_Late,Late_Fee,Customer_SK,Policy_SK,Address_SK
1,10001,1,25000,200000,14732.62,2014-09-20,2014-02-06,EAST,False,0.0,1.0,1.0,1.0
2,10001,1,25000,200000,14732.62,2014-09-20,2014-03-08,EAST,False,0.0,1.0,1.0,1.0
3,10001,1,25000,200000,14732.62,2014-09-20,2014-04-07,EAST,False,0.0,1.0,1.0,1.0
4,10002,1,12500,500000,6117.62,2012-10-07,2011-10-11,EAST,False,0.0,1.0,2.0,1.0
5,10002,1,12500,500000,6117.62,2012-10-07,2011-11-10,EAST,False,0.0,1.0,2.0,1.0
6,10003,1,7500,500000,1846.81,2011-03-03,2010-06-20,EAST,False,0.0,1.0,3.0,1.0
7,10003,1,7500,500000,1846.81,2011-03-03,2010-07-20,EAST,False,0.0,1.0,3.0,1.0
8,10003,1,7500,500000,1846.81,2011-03-03,2010-08-19,EAST,False,0.0,1.0,3.0,1.0
9,10003,1,7500,500000,1846.81,2011-03-03,2010-09-18,EAST,False,0.0,1.0,3.0,1.0
10,10003,1,7500,500000,1846.81,2011-03-03,2010-10-18,EAST,False,0.0,1.0,3.0,1.0
11,10004,2,15000,1000000,8717.53,2015-04-25,2014-09-02,SOUTH,False,0.0,2.0,4.0,2.0
12,10004,2,15000,1000000,8717.53,2015-04-25,2014-10-02,SOUTH,False,0.0,2.0,4.0,2.0
13,10005,3,5000,800000,3009.66,2021-01-09,2012-01-02,EAST,False,0.0,3.0,5.0,3.0
14,10006,4,12500,400000,3354.47,2019-03-24,2018-04-14,NORTH,False,0.0,4.0,6.0,4.0
15,10006,4,12500,400000,3354.47,2019-03-24,2018-05-14,NORTH,False,0.0,4.0,6.0,4.0
16,10006,4,12500,400000,3354.47,2019-03-24,2018-06-13,NORTH,False,0.0,4.0,6.0,4.0
17,10006,4,12500,400000,3354.47,2019-03-24,2018-07-13,NORTH,False,0.0,4.0,6.0,4.0
18,10007,4,12500,200000,3451.52,2009-12-15,2008-12-14,NORTH,False,0.0,4.0,7.0,4.0
19,10008,5,20000,800000,5267.46,2012-08-05,2012-05-06,NORTH,False,0.0,5.0,8.0,5.0
20,10008,5,20000,800000,5267.46,2012-08-05,2012-06-05,NORTH,False,0.0,5.0,8.0,5.0
21,10008,5,20000,800000,5267.46,2012-08-05,2012-07-05,NORTH,False,0.0,5.0,8.0,5.0
22,10009,5,25000,200000,7567.69,2019-04-02,2018-01-10,NORTH,False,0.0,5.0,9.0,5.0
23,10009,5,25000,200000,7567.69,2019-04-02,2018-02-09,NORTH,False,0.0,5.0,9.0,5.0
24,10010,5,10000,500000,6045.52,2016-03-09,2015-02-28,NORTH,False,0.0,5.0,10.0,5.0
25,10010,5,10000,500000,6045.52,2016-03-09,2015-03-30,NORTH,False,0.0,5.0,10.0,5.0
26,10010,5,10000,500000,6045.52,2016-03-09,2015-04-29,NORTH,False,0.0,5.0,10.0,5.0
27,10010,5,10000,500000,6045.52,2016-03-09,2015-05-29,NORTH,False,0.0,5.0,10.0,5.0
28,10011,6,10000,600000,8392.43,2021-07-24,2020-04-14,SOUTH,False,0.0,6.0,11.0,6.0
29,10012,7,15000,200000,13357.43,2013-09-29,2012-09-21,EAST,False,0.0,7.0,12.0,7.0
30,10013,7,5000,400000,2921.1,2009-04-15,2007-11-11,EAST,False,0.0,7.0,13.0,7.0
31,10013,7,5000,400000,2921.1,2009-04-15,2007-12-11,EAST,False,0.0,7.0,13.0,7.0
32,10014,8,25000,400000,20071.84,2021-02-03,2020-10-10,SOUTH,False,0.0,8.0,14.0,8.0
33,10014,8,25000,400000,20071.84,2021-02-03,2020-11-09,SOUTH,False,0.0,8.0,14.0,8.0
34,10014,8,25000,400000,20071.84,2021-02-03,2020-12-09,SOUTH,False,0.0,8.0,14.0,8.0
35,10015,9,15000,500000,6340.34,2015-09-22,2014-09-07,EAST,False,0.0,9.0,15.0,9.0
36,10015,9,15000,500000,6340.34,2015-09-22,2014-10-07,EAST,False,0.0,9.0,15.0,9.0
37,10016,10,15000,300000,4820.81,2014-08-26,2013-07-23,NORTH,False,0.0,10.0,16.0,10.0
38,10016,10,15000,300000,4820.81,2014-08-26,2013-08-22,NORTH,False,0.0,10.0,16.0,10.0
39,10016,10,15000,300000,4820.81,2014-08-26,2013-09-21,NORTH,False,0.0,10.0,16.0,10.0
40,10017,10,12500,1000000,9849.67,2009-11-21,2009-03-22,NORTH,False,0.0,10.0,17.0,10.0
41,10017,10,12500,1000000,9849.67,2009-11-21,2009-04-21,NORTH,False,0.0,10.0,17.0,10.0
42,10017,10,12500,1000000,9849.67,2009-11-21,2009-05-21,NORTH,False,0.0,10.0,17.0,10.0
43,10018,11,7500,200000,4904.04,2020-04-17,2020-01-12,SOUTH,False,0.0,11.0,18.0,11.0
44,10018,11,7500,200000,4904.04,2020-04-17,2020-02-11,SOUTH,False,0.0,11.0,18.0,11.0
45,10018,11,7500,200000,4904.04,2020-04-17,2020-03-12,SOUTH,False,0.0,11.0,18.0,11.0
46,10018,11,7500,200000,4904.04,2020-04-17,2020-04-11,SOUTH,False,0.0,11.0,18.0,11.0
47,10019,12,7500,200000,4871.78,2020-02-11,2019-10-04,SOUTH,False,0.0,12.0,19.0,12.0
48,10019,12,7500,200000,4871.78,2020-02-11,2019-11-03,SOUTH,False,0.0,12.0,19.0,12.0
49,10020,13,12500,600000,6475.95,2021-01-05,2020-08-06,SOUTH,False,0.0,13.0,20.0,13.0
50,10020,13,12500,600000,6475.95,2021-01-05,2020-09-05,SOUTH,False,0.0,13.0,20.0,13.0
51,10020,13,12500,600000,6475.95,2021-01-05,2020-10-05,SOUTH,False,0.0,13.0,20.0,13.0
52,10020,13,12500,600000,6475.95,2021-01-05,2020-11-04,SOUTH,False,0.0,13.0,20.0,13.0
53,10021,13,12500,400000,4125.67,2017-11-11,2017-05-20,SOUTH,False,0.0,13.0,21.0,13.0
54,10021,13,12500,400000,4125.67,2017-11-11,2017-06-19,SOUTH,False,0.0,13.0,21.0,13.0
55,10022,14,25000,900000,17462.27,2018-06-17,2017-12-18,EAST,False,0.0,14.0,22.0,14.0
56,10022,14,25000,900000,17462.27,2018-06-17,2018-01-17,EAST,False,0.0,14.0,22.0,14.0
57,10023,14,15000,400000,13271.45,2014-06-05,2014-03-20,EAST,False,0.0,14.0,23.0,14.0
58,10023,14,15000,400000,13271.45,2014-06-05,2014-04-19,EAST,False,0.0,14.0,23.0,14.0
59,10023,14,15000,400000,13271.45,2014-06-05,2014-05-19,EAST,False,0.0,14.0,23.0,14.0
60,10024,14,10000,200000,5370.73,2016-10-25,2015-11-03,EAST,False,0.0,14.0,24.0,14.0
61,10025,15,20000,600000,17771.36,2009-07-21,2008-03-09,EAST,False,0.0,15.0,25.0,15.0
62,10025,15,20000,600000,17771.36,2009-07-21,2008-04-08,EAST,False,0.0,15.0,25.0,15.0
63,10025,15,20000,600000,17771.36,2009-07-21,2008-05-08,EAST,False,0.0,15.0,25.0,15.0
64,10026,15,5000,600000,3135.25,2016-11-02,2015-06-06,EAST,False,0.0,15.0,26.0,15.0
65,10026,15,5000,600000,3135.25,2016-11-02,2015-07-06,EAST,False,0.0,15.0,26.0,15.0
66,10026,15,5000,600000,3135.25,2016-11-02,2015-08-05,EAST,False,0.0,15.0,26.0,15.0
67,10027,15,20000,800000,5093.15,2016-09-12,2015-08-07,EAST,False,0.0,15.0,27.0,15.0
68,10027,15,20000,800000,5093.15,2016-09-12,2015-09-06,EAST,False,0.0,15.0,27.0,15.0
69,10027,15,20000,800000,5093.15,2016-09-12,2015-10-06,EAST,False,0.0,15.0,27.0,15.0
70,10027,15,20000,800000,5093.15,2016-09-12,2015-11-05,EAST,False,0.0,15.0,27.0,15.0
71,10027,15,20000,800000,5093.15,2016-09-12,2015-12-05,EAST,False,0.0,15.0,27.0,15.0
72,10028,16,15000,200000,6607.23,2019-06-07,2018-01-01,EAST,False,0.0,16.0,28.0,16.0
73,10028,16,15000,200000,6607.23,2019-06-07,2018-01-31,EAST,False,0.0,16.0,28.0,16.0
74,10028,16,15000,200000,6607.23,2019-06-07,2018-03-02,EAST,False,0.0,16.0,28.0,16.0
75,10028,16,15000,200000,6607.23,2019-06-07,2018-04-01,EAST,False,0.0,16.0,28.0,16.0
76,10028,16,15000,200000,6607.23,2019-06-07,2018-05-01,EAST,False,0.0,16.0,28.0,16.0
77,10029,16,15000,500000,10705.05,2016-06-25,2015-07-08,EAST,False,0.0,16.0,29.0,16.0
78,10030,16,10000,300000,6865.36,2013-02-17,2012-12-01,EAST,False,0.0,16.0,30.0,16.0
